Gene_acc,Gene_id,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,Desc
0,Tb927.5.4450,126070.0,154000.0,146210.0,144450.0,146900.0,105420.0,105530.0,112320.0,98579.0,96715.0,"hypothetical protein, conserved"
1,Tb05.5K5.110,7513000.0,7230600.0,7642300.0,7619700.0,6989000.0,5070200.0,5806100.0,4634900.0,5960000.0,5899800.0,"major vault protein, putative"
2,Tb927.5.4470,421640.0,403270.0,424420.0,394350.0,409250.0,289150.0,348870.0,283520.0,335140.0,326650.0,"hypothetical protein, conserved"
3,Tb927.5.4480,5472300.0,5338800.0,5502000.0,5424600.0,5136000.0,3824200.0,4125700.0,3465600.0,4306200.0,4339100.0,"paraflagellar rod component par4, putative"
4,Tb927.5.4500,5066600.0,4939400.0,5324300.0,5307300.0,4962200.0,3518300.0,3861300.0,3086300.0,3869100.0,3866600.0,"ras-like small GTPase, putative"
5,Tb927.5.4520,212360.0,227180.0,230470.0,219200.0,204350.0,147600.0,180440.0,161820.0,178810.0,185140.0,Kinetochore interacting protein 1
6,Tb927.5.4560,4005400.0,4073100.0,4434300.0,4284900.0,4058400.0,2923700.0,3332100.0,2755500.0,3427800.0,3374200.0,"guanine deaminase, putative"
7,Tb05.5K5.210,1744700.0,1651600.0,1813800.0,1829100.0,1648000.0,1239700.0,1397000.0,1047800.0,1481100.0,1386800.0,hypothetical protein
8,Tb927.5.4580,447090.0,454380.0,510170.0,476210.0,444000.0,361340.0,406010.0,313050.0,371760.0,391060.0,Flagellum adhesion protein 3
9,Tb927.5.4380,4270200.0,4407600.0,4448700.0,4572200.0,4324300.0,3254400.0,3633400.0,3288300.0,3695100.0,3694400.0,Kinetoplastid-specific Protein Phosphatase 1
10,Tb927.5.4390,941370.0,981760.0,981660.0,1014200.0,869930.0,677110.0,754290.0,649780.0,706690.0,763580.0,"hypothetical protein, conserved"
11,Tb927.5.4400,569890.0,559060.0,576230.0,634560.0,541570.0,486650.0,433100.0,404830.0,492210.0,502560.0,"hypothetical protein, conserved"
12,Tb927.5.4410,565800.0,583870.0,672570.0,611600.0,536740.0,401710.0,418500.0,426410.0,463240.0,459170.0,"hypothetical protein, conserved"
13,Tb927.5.4420,7776800.0,7743800.0,8389000.0,8006900.0,7591800.0,5836800.0,6265200.0,5359000.0,6461300.0,6232200.0,"nucleolar RNA helicase II, putative"
14,Tb05.5K5.80,166620.0,181630.0,183340.0,192420.0,186570.0,128680.0,149080.0,108180.0,143000.0,147520.0,"calcium/calmodulin-dependent protein kinase, putative"
15,Tb927.5.4440,1722900.0,1628600.0,2031500.0,1851100.0,1577600.0,1414700.0,1418000.0,1071000.0,1572000.0,1731900.0,"dynein light chain, putative"
16,Tb06.3A7.960,876660.0,825940.0,893150.0,962590.0,903030.0,628630.0,706500.0,553230.0,762720.0,723950.0,hypothetical protein
17,Tb07.11L3.100,191730.0,200280.0,197720.0,202500.0,176880.0,142010.0,165530.0,134360.0,155370.0,162240.0,SUMO-interacting motif-containing protein
18,Tb927.7.2140,438460.0,497400.0,433430.0,476250.0,467320.0,347600.0,378260.0,344220.0,367010.0,370360.0,"zinc finger protein family member, putative"
19,Tb08.27P2.400,19560.0,17419.0,21393.0,23206.0,24388.0,17413.0,14907.0,13778.0,22836.0,14530.0,"expression site-associated gene 3 (ESAG3), degenerate"
20,Tb927.9.15680,99595.0,102770.0,106080.0,112060.0,103330.0,93780.0,81012.0,90784.0,89291.0,93691.0,expression site-associated gene 6 (ESAG6)
